Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP1086	455	0.989	102.609	22.551%	16.124	14.709%	0.08195	0.986
SP1003	648	0.995	109.131	16.841%	17.564	9.907%	0.05243	0.994
SP1677	632	0.993	104.917	16.601%	17.226	11.643%	0.04283	0.992
SP1305	1826	0.996	243.734	13.348%	42.056	9.432%	0.02557	0.995
SP963	530	0.995	88.301	16.661%	13.485	10.217%	0.05912	0.994
SP1144	389	0.971	103.39	26.578%	21.212	23.989%	0.09523	0.962
SP1132	840	0.972	230.53	27.444%	56.448	24.385%	0.08202	0.967
SP1712	308	0.998	69.056	22.421%	10.173	7.008%	0.11699	0.997
SP1114	578	0.994	96.16	16.637%	17.972	10.82%	0.05213	0.993
SP1431	396	0.998	71.265	17.996%	11.497	6.299%	0.07751	0.998
SP975	1359	0.992	236.561	17.407%	49.262	13.04%	0.04206	0.991
SP1059	1103	0.994	180.955	16.406%	30.536	11.9%	0.05657	0.992
SP1419	779	0.996	143.798	18.459%	21.886	9.426%	0.06704	0.995
SP1009	509	0.992	109.02	21.418%	18.18	13.011%	0.08209	0.99
SP1724	293	0.99	67.622	23.079%	11.335	14.286%	0.08812	0.988
SP96136	1152	0.994	168.254	14.605%	27.292	10.665%	0.04054	0.992
SP967	293	0.998	60.397	20.613%	8.948	6.74%	0.12577	0.998
SP1781	816	0.999	106.124	13.005%	18.499	5.272%	0.0423	0.999
SP1174	1018	0.999	114.294	11.227%	17.767	3.795%	0.03773	0.999
SP953	892	0.996	147.589	16.546%	22.962	9.556%	0.04587	0.995
SP1377	381	0.997	79.113	20.765%	11.767	7.781%	0.08184	0.997
SP1365	758	0.997	100.436	13.25%	17.511	8.007%	0.0373	0.996
SP1491	656	0.991	129.901	19.802%	22.95	13.481%	0.06981	0.989
CPCT02060013T	1670	0.997	187.254	11.213%	30.629	8.192%	0.02378	0.996
CPCT02100026T	573	0.994	106.559	18.597%	18.221	10.661%	0.07238	0.993
CPCT02070020T	1364	0.998	157.763	11.566%	23.59	5.96%	0.02615	0.998
CPCT02030269T	432	0.994	92.896	21.504%	13.77	10.739%	0.08367	0.993
CPCT02010944TIII	719	0.993	125.266	17.422%	21.451	12.197%	0.04967	0.991
CPCT02020867T	1231	0.994	167.089	13.573%	30.66	11.237%	0.02496	0.992
CPCT02070272T	2676	0.999	230.286	8.606%	36.991	4.883%	0.01434	0.999
CPCT02020648T	864	0.995	123.235	14.263%	20.675	10.595%	0.0369	0.993
CPCT02020362T	1257	0.997	199.572	15.877%	36.273	8.272%	0.04517	0.996
CPCT02440020T	1341	0.999	131.096	9.776%	20.1	3.341%	0.02388	0.999
CPCT02210077T	1176	0.999	118.073	10.04%	18.983	5.086%	0.03371	0.999
CPCT02070445T	874	0.998	117.824	13.481%	18.745	5.843%	0.04598	0.998
CPCT02020894T	721	0.997	107.352	14.889%	17.296	8.165%	0.0485	0.996
CPCT02020896T	527	0.996	98.241	18.642%	14.906	8.655%	0.07467	0.996
CPCT02140101T	1993	0.997	254.425	12.766%	40.564	7.536%	0.02404	0.997
CPCT02210040T	1111	0.999	101.81	9.164%	14.72	3.336%	0.02862	0.999
DRUP01010020T	74163	1.0	3482.581	4.696%	822.198	1.725%	0.0057	1.0
CPCT02020902T	1383	0.997	148.015	10.702%	24.26	7.635%	0.02376	0.996
CPCT02070443T	863	0.998	123.254	14.282%	19.403	6.808%	0.04247	0.997
CPCT02080295T	1647	0.999	174.476	10.594%	28.338	4.357%	0.02944	0.999
CPCT02020916T	967	0.993	153.784	15.903%	23.894	12.083%	0.0395	0.99
CPCT02020915T	560	0.998	91.087	16.266%	13.005	6.454%	0.05462	0.998
CPCT02160036T	566	0.997	90.763	16.036%	14.213	7.784%	0.06298	0.997
CPCT02120184T	1140	0.994	169.662	14.883%	28.945	11.233%	0.04252	0.992
CPCT02050315T	471	0.991	97.144	20.625%	15.91	13.087%	0.08015	0.989
CPCT02120182T	630	0.994	107.58	17.076%	19.424	10.715%	0.05565	0.993
CPCT02020940T	495	0.984	109.788	22.179%	17.394	17.615%	0.07411	0.978
CPCT02010712T	2093	1.0	181.808	8.686%	28.44	3.184%	0.02286	0.999
CPCT02070294T	601	0.992	112.008	18.637%	18.939	12.764%	0.06869	0.99
CPCT02070299T	1697	0.999	131.674	7.759%	21.012	3.918%	0.01847	0.999
CPCT02050437T	1594	0.999	162.887	10.219%	25.75	4.044%	0.02722	0.999
CPCT02050436T	1762	0.997	211.145	11.983%	31.653	7.964%	0.02375	0.996
CPCT02020952T	1090	0.998	149.788	13.742%	22.446	5.953%	0.04255	0.998
CPCT02020642TII	3587	0.998	317.301	8.846%	56.917	6.796%	0.01179	0.997
CPCT02020958T	871	0.99	160.373	18.413%	26.878	14.372%	0.04636	0.986
CPCT02020684T	299	0.992	64.281	21.499%	9.809	12.593%	0.09732	0.991
WIDE01010111T	1319	0.994	216.414	16.407%	35.89	11.11%	0.03588	0.992
CPCT02020958TII	892	0.99	168.89	18.934%	27.737	14.324%	0.05194	0.986
CPCT02020972T	1963	0.999	203.248	10.354%	33.74	4.58%	0.02299	0.999
CPCT02020971T	483	0.996	83.048	17.194%	12.519	9.145%	0.05909	0.995
CPCT02330103T	1070	0.997	165.93	15.507%	26.518	8.266%	0.04644	0.996
WIDE01010148T	1745	0.999	159.646	9.149%	22.937	3.862%	0.02985	0.999
CPCT02070480T	513	0.995	93.798	18.284%	14.325	10.255%	0.07228	0.994
CPCT02360014T	2812	0.999	180.481	6.418%	37.519	5.165%	0.00895	0.998
CPCT02140107T	1778	0.996	219.897	12.368%	38.078	8.928%	0.02172	0.995
CPCT02070485T	1465	0.997	226.844	15.484%	34.711	7.963%	0.03345	0.997
WIDE01010202T	1078	0.999	120.909	11.216%	19.116	5.161%	0.03336	0.999
CPCT02020583TII	1931	0.999	160.633	8.319%	24.171	3.208%	0.01735	0.999
