Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP109953	394	0.997	104.274	26.465%	17.709	8.997%	0.1192	0.997
SP107650	351	0.998	75.728	21.575%	11.643	7.327%	0.08929	0.998
SP13206	358	0.995	83.133	23.222%	13.313	9.706%	0.11228	0.995
SP13078	420	0.994	110.419	26.29%	17.241	11.112%	0.10507	0.994
SP107607	315	0.982	117.403	37.271%	19.158	18.885%	0.19901	0.98
SP109941	210	0.986	77.653	36.978%	12.379	16.756%	0.24825	0.985
SP109801	395	0.997	75.179	19.033%	11.739	7.455%	0.07795	0.997
SP13072	311	0.977	110.171	35.425%	19.124	22.326%	0.20022	0.973
SP107595	712	0.99	233.275	32.763%	36.752	15.05%	0.12527	0.989
SP107640	301	0.994	90.795	30.164%	16.743	12.195%	0.14639	0.994
SP13084	417	0.996	100.741	24.159%	15.835	9.014%	0.12354	0.996
SP107603	278	0.99	86.579	31.144%	13.385	14.161%	0.15603	0.989
SP109957	546	0.949	238.179	43.623%	49.702	32.587%	0.24924	0.941
SP114020	652	0.987	164.599	25.245%	38.37	16.534%	0.12727	0.986
SP96540	228	0.983	104.461	45.816%	18.665	22.48%	0.32731	0.983
SP114032	309	0.993	107.639	34.835%	17.788	14.29%	0.207	0.992
SP107624	165	0.978	72.926	44.198%	11.351	21.038%	0.32812	0.975
SP107575	314	0.983	112.474	35.82%	18.022	18.432%	0.19023	0.981
SP13242	270	0.994	70.987	26.291%	10.805	10.972%	0.14283	0.993
SP114016	312	0.995	88.873	28.485%	15.357	11.362%	0.13207	0.994
CPCT02070011T	2484	0.994	454.13	18.282%	79.708	12.457%	0.04897	0.993
CPCT02020317T	307	0.964	111.735	36.396%	17.841	27.799%	0.18394	0.951
CPCT02010352T	108	0.961	40.331	37.344%	6.629	27.913%	0.23643	0.948
CPCT02010362T	142	0.929	68.206	48.032%	10.539	38.847%	0.27215	0.896
CPCT02010366T	51	0.905	35.362	69.337%	5.682	42.709%	0.52143	0.884
CPCT02010383T	147	0.965	63.498	43.196%	12.396	29.726%	0.2525	0.962
CPCT02050049T	222	0.951	86.774	39.087%	16.06	31.28%	0.18338	0.936
CPCT02020350T	282	0.957	100.07	35.486%	17.84	28.895%	0.18333	0.943
CPCT02060023T	907	0.991	200.319	22.086%	34.655	13.582%	0.06845	0.989
CPCT02080030T	2873	0.992	438.584	15.266%	95.381	13.7%	0.02384	0.99
CPCT02060010T	1035	0.99	216.215	20.89%	35.487	15.013%	0.05318	0.987
