Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP95454	28322	1.0	1905.068	6.726%	526.532	3.022%	0.00882	1.0
SP94741	55132	1.0	3071.308	5.571%	850.888	2.418%	0.00689	1.0
SP90209	127212	1.0	16076.013	12.637%	4605.154	6.44%	0.03086	1.0
SP90989	50628	1.0	1578.289	3.117%	467.082	1.288%	0.0034	1.0
SP93540	96040	1.0	7046.73	7.337%	2254.256	3.492%	0.01091	1.0
SP93227	129339	0.999	22127.729	17.108%	5542.796	7.954%	0.05914	0.999
SP94348	50366	1.0	3154.849	6.264%	967.615	2.929%	0.00738	1.0
SP94588	533	0.994	118.467	22.226%	18.784	10.593%	0.08606	0.994
SP90725	407	0.996	93.863	23.062%	14.389	8.752%	0.11902	0.996
SP94236	511	0.992	99.567	19.485%	15.559	12.315%	0.06026	0.991
SP93772	385	0.992	80.512	20.912%	12.384	13.135%	0.07895	0.989
SP92195	514	0.996	88.4	17.198%	13.625	8.782%	0.05483	0.996
SP89957	479	0.997	92.027	19.212%	14.611	8.111%	0.09381	0.996
SP92268	438	0.998	68.253	15.583%	9.931	5.903%	0.07422	0.998
SP92707	333	0.994	81.132	24.364%	13.481	12.254%	0.09647	0.993
SP89687	500	0.994	100.695	20.139%	16.019	11.027%	0.07177	0.993
SP90269	488	0.996	110.913	22.728%	18.037	8.962%	0.0874	0.996
SP94933	64286	1.0	2435.763	3.789%	515.414	1.421%	0.0069	1.0
SP95126	816	0.995	140.381	17.204%	22.275	9.937%	0.0545	0.994
SP95646	505	0.995	96.498	19.109%	14.683	9.933%	0.08263	0.994
SP89443	371	0.99	94.257	25.406%	15.011	14.6%	0.11344	0.988
SP89651	283	0.98	81.325	28.737%	14.161	20.021%	0.13391	0.975
SP94060	377	0.993	88.228	23.403%	15.069	11.569%	0.09712	0.993
SP92787	292	0.991	58.951	20.189%	9.318	13.721%	0.08249	0.988
SP92723	434	0.995	86.961	20.037%	15.958	9.585%	0.09969	0.995
SP92364	59684	1.0	2381.616	3.99%	590.519	1.616%	0.00477	1.0
SP95406	304	0.979	100.777	33.15%	16.025	20.441%	0.14145	0.975
SP91746	323	0.99	83.82	25.95%	13.637	13.9%	0.10967	0.989
SP92332	720	0.993	134.856	18.73%	22.147	12.365%	0.06353	0.991
SP91730	989	0.995	135.628	13.714%	23.147	10.147%	0.04662	0.993
SP92947	507	0.998	88.524	17.46%	13.113	6.412%	0.07582	0.998
SP91666	546	0.998	90.272	16.533%	14.464	6.672%	0.06283	0.998
SP90245	530	0.985	137.552	25.953%	22.52	17.696%	0.12812	0.981
SP90893	441	0.988	103.712	23.517%	17.124	15.241%	0.0845	0.986
SP89519	408	0.995	85.522	20.961%	14.035	9.781%	0.1077	0.995
SP94917	17873	1.0	798.616	4.468%	198.111	1.933%	0.00614	1.0
SP92659	3702	1.0	313.325	8.464%	60.038	2.694%	0.01873	1.0
SP94332	1076	0.989	216.722	20.141%	52.125	16.59%	0.05477	0.988
SP94661	478	0.995	113.499	23.745%	16.896	10.686%	0.09006	0.994
SP93652	441	0.997	80.85	18.333%	11.946	7.609%	0.07601	0.997
SP90125	452	0.992	95.46	21.119%	15.506	12.868%	0.07771	0.99
